date,df1
2010-01-01,63125
2010-02-01,58847
2010-03-01,64743
2010-04-01,63321
2010-05-01,65822
2010-06-01,62379
2010-07-01,63276
2010-08-01,62957
2010-09-01,58583
2010-10-01,62736
2010-11-01,62327
2010-12-01,64520
