Month,df1
2010-01-01,69
2010-02-01,64
2010-03-01,63
2010-04-01,66
2010-05-01,63
2010-06-01,59
2010-07-01,56
2010-08-01,58
2010-09-01,55
2010-10-01,53
2010-11-01,54
2010-12-01,44
